old parser:अ	(set! wordstruct '( (( "a" ) 0) ))	
new parser:उदयसिंह	(set! wordstruct '( (( "u" ) 0) (( "d" "a" "y" ) 0) (( "s" "i" "q" "h" ) 0) ))
old parser:उदाहरण	(set! wordstruct '( (( "u" ) 0) (( "d" "aa" "h" ) 0) (( "r" "a" "nx" ) 0) ))
new parser:उदाहरण	(set! wordstruct '( (( "u" ) 0) (( "d" "aa" ) 0) (( "h" "a" ) 0) (( "r" "a" "nx" ) 0) ))
old parser:उपकरण	(set! wordstruct '( (( "u" "p" ) 0) (( "k" "a" ) 0) (( "r" "a" "nx" ) 0) ))
new parser:उपकरण	(set! wordstruct '( (( "u" "p" ) 0) (( "k" "a" "r" ) 0) (( "nx" "a" ) 0) ))
old parser:उपजीव्य	(set! wordstruct '( (( "u" "p" ) 0) (( "j" "ii" "w" "y" ) 0) ))
new parser:उपजीव्य	(set! wordstruct '( (( "u" "p" ) 0) (( "j" "ii" ) 0) (( "w" "y" "a" ) 0) ))
old parser:उपभोक्ता	(set! wordstruct '( (( "u" "p" ) 0) (( "bh" "o" "k" ) 0) (( "t" "aa" ) 0) ))
new parser:उपभोक्ता	(set! wordstruct '( (( "u" "p" ) 0) (( "bh" "o" ) 0) (( "k" "t" "aa" ) 0) ))
old parser:उपयोग	(set! wordstruct '( (( "u" "p" ) 0) (( "y" "o" "g" ) 0) ))
new parser:उपयोग	(set! wordstruct '( (( "u" "p" ) 0) (( "y" "o" ) 0) (( "g" "a" ) 0) ))
old parser:उपयोगकर्ताओं	(set! wordstruct '( (( "u" "p" ) 0) (( "y" "o" "g" ) 0) (( "k" "a" "r" ) 0) (( "t" "aa" ) 0) (( "o" "q" ) 0) ))
new parser:उपयोगकर्ताओं	(set! wordstruct '( (( "u" "p" ) 0) (( "y" "o" ) 0) (( "g" "a" ) 0) (( "k" "a" "r" ) 0) (( "t" "aa" ) 0) (( "o" "q" ) 0) ))
old parser:उपलब्ध	(set! wordstruct '( (( "u" "p" ) 0) (( "l" "a" "b" "dh" ) 0) ))
new parser:उपलब्ध	(set! wordstruct '( (( "u" ) 0) (( "p" "a" "l" ) 0) (( "b" "dh" "a" ) 0) ))
old parser:उपलब्धता	(set! wordstruct '( (( "u" "p" ) 0) (( "l" "a" "b" ) 0) (( "dh" "a" ) 0) (( "t" "aa" ) 0) ))
new parser:उपलब्धता	(set! wordstruct '( (( "u" ) 0) (( "p" "a" "l" ) 0) (( "b" "dh" "a" ) 0) (( "t" "aa" ) 0) ))
old parser:उपलब्धि	(set! wordstruct '( (( "u" "p" ) 0) (( "l" "a" "b" ) 0) (( "dh" "i" ) 0) ))
new parser:उपलब्धि	(set! wordstruct '( (( "u" ) 0) (( "p" "a" "l" ) 0) (( "b" "dh" "i" ) 0) ))
old parser:उपलब्धियाँ	(set! wordstruct '( (( "u" "p" ) 0) (( "l" "a" "b" ) 0) (( "dh" "i" ) 0) (( "y" "aa" "mq" ) 0) ))
new parser:उपलब्धियाँ	(set! wordstruct '( (( "u" ) 0) (( "p" "a" "l" ) 0) (( "b" "dh" "i" ) 0) (( "y" "aa" "mq" ) 0) ))
old parser:उपलब्धियां	(set! wordstruct '( (( "u" "p" ) 0) (( "l" "a" "b" ) 0) (( "dh" "i" ) 0) (( "y" "aa" "q" ) 0) ))
new parser:उपलब्धियां	(set! wordstruct '( (( "u" ) 0) (( "p" "a" "l" ) 0) (( "b" "dh" "i" ) 0) (( "y" "aa" "q" ) 0) ))
old parser:उपलब्धियॉं	(set! wordstruct '( (( "u" "p" ) 0) (( "l" "a" "b" ) 0) (( "dh" "i" ) 0) (( "y" "ax" "q" ) 0) ))
new parser:उपलब्धियॉं	(set! wordstruct '( (( "u" ) 0) (( "p" "a" "l" ) 0) (( "b" "dh" "i" ) 0) (( "y" "ax" "q" ) 0) ))
old parser:उपलब्धियों	(set! wordstruct '( (( "u" "p" ) 0) (( "l" "a" "b" ) 0) (( "dh" "i" ) 0) (( "y" "o" "q" ) 0) ))
new parser:उपलब्धियों	(set! wordstruct '( (( "u" ) 0) (( "p" "a" "l" ) 0) (( "b" "dh" "i" ) 0) (( "y" "o" "q" ) 0) ))
old parser:उम्रक़ैद	(set! wordstruct '( (( "u" "m" ) 0) (( "r" "a" ) 0) (( "kq" "ei" "d" ) 0) ))
new parser:उम्रक़ैद	(set! wordstruct '( (( "u" "m" "r" ) 0) (( "kq" "ei" "d" ) 0) ))
old parser:उलगुलान	(set! wordstruct '( (( "u" "l" ) 0) (( "g" "u" ) 0) (( "l" "aa" "n" ) 0) ))
new parser:उलगुलान	(set! wordstruct '( (( "u" ) 0) (( "l" "a" ) 0) (( "g" "u" ) 0) (( "l" "aa" "n" ) 0) ))
old parser:उलझन	(set! wordstruct '( (( "u" "l" ) 0) (( "jh" "a" "n" ) 0) ))
new parser:उलझन	(set! wordstruct '( (( "u" ) 0) (( "l" "a" "jh" ) 0) (( "n" "a" ) 0) ))
old parser:उलझनों	(set! wordstruct '( (( "u" "l" ) 0) (( "jh" "a" ) 0) (( "n" "o" "q" ) 0) ))
new parser:उलझनों	(set! wordstruct '( (( "u" ) 0) (( "l" "a" "jh" ) 0) (( "n" "o" "q" ) 0) ))
old parser:उलझी	(set! wordstruct '( (( "u" "l" ) 0) (( "jh" "ii" ) 0) ))
new parser:उलझी	(set! wordstruct '( (( "u" ) 0) (( "l" "a" ) 0) (( "jh" "ii" ) 0) ))
old parser:उल्लंघन	(set! wordstruct '( (( "u" ) 0) (( "l" "l" "a" "q" ) 0) (( "gh" "a" "n" ) 0) ))
new parser:उल्लंघन	(set! wordstruct '( (( "u" "l" ) 0) (( "l" "a" "q" ) 0) (( "gh" "a" "n" ) 0) ))
old parser:उल्वद्रव	(set! wordstruct '( (( "u" "l" ) 0) (( "w" "a" "d" ) 0) (( "r" "a" "w" ) 0) ))
new parser:उल्वद्रव	(set! wordstruct '( (( "u" "l" "w" ) 0) (( "d" "r" "a" "w" ) 0) ))
old parser:उसूलन	(set! wordstruct '( (( "u" ) 0) (( "s" "uu" ) 0) (( "l" "a" "n" ) 0) ))
new parser:उसूलन	(set! wordstruct '( (( "u" ) 0) (( "s" "uu" "l" ) 0) (( "n" "a" ) 0) ))
old parser:उड़कर	(set! wordstruct '( (( "u" "dxq" ) 0) (( "k" "a" "r" ) 0) ))
new parser:उड़कर	(set! wordstruct '( (( "u" ) 0) (( "dxq" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:उड़ती	(set! wordstruct '( (( "u" "dxq" ) 0) (( "t" "ii" ) 0) ))
new parser:उड़ती	(set! wordstruct '( (( "u" ) 0) (( "dxq" "a" ) 0) (( "t" "ii" ) 0) ))
old parser:उड़ने	(set! wordstruct '( (( "u" "dxq" ) 0) (( "n" "ee" ) 0) ))
new parser:उड़ने	(set! wordstruct '( (( "u" ) 0) (( "dxq" "a" ) 0) (( "n" "ee" ) 0) ))
old parser:ऊपरवाले	(set! wordstruct '( (( "uu" "p" ) 0) (( "r" "a" ) 0) (( "w" "aa" ) 0) (( "l" "ee" ) 0) ))
new parser:ऊपरवाले	(set! wordstruct '( (( "uu" ) 0) (( "p" "a" "r" ) 0) (( "w" "aa" ) 0) (( "l" "ee" ) 0) ))
old parser:एकतरफ़ा	(set! wordstruct '( (( "ee" "k" ) 0) (( "t" "a" "r" ) 0) (( "f" "aa" ) 0) ))
new parser:एकतरफ़ा	(set! wordstruct '( (( "ee" ) 0) (( "k" "a" ) 0) (( "t" "a" "r" ) 0) (( "f" "aa" ) 0) ))
old parser:एकलव्य	(set! wordstruct '( (( "ee" "k" ) 0) (( "l" "a" "w" "y" ) 0) ))
new parser:एकलव्य	(set! wordstruct '( (( "ee" ) 0) (( "k" "a" "l" ) 0) (( "w" "y" "a" ) 0) ))
old parser:एक्सटर	(set! wordstruct '( (( "ee" "k" ) 0) (( "s" "a" ) 0) (( "tx" "a" "r" ) 0) ))
new parser:एक्सटर	(set! wordstruct '( (( "ee" "k" "s" ) 0) (( "tx" "a" "r" ) 0) ))
old parser:एक्सपर्ट	(set! wordstruct '( (( "ee" "k" ) 0) (( "s" "a" ) 0) (( "p" "a" "r" "tx" ) 0) ))
new parser:एक्सपर्ट	(set! wordstruct '( (( "ee" "k" "s" ) 0) (( "p" "a" "r" "tx" ) 0) ))
old parser:एक्सप्रेस	(set! wordstruct '( (( "ee" "k" ) 0) (( "s" "a" "p" ) 0) (( "r" "ee" "s" ) 0) ))
new parser:एक्सप्रेस	(set! wordstruct '( (( "ee" "k" "s" ) 0) (( "p" "r" "ee" "s" ) 0) ))
old parser:एफ़सीआरए	(set! wordstruct '( (( "ee" "f" ) 0) (( "s" "ii" ) 0) (( "aa" ) 0) (( "r" "a" ) 0) (( "ee" ) 0) ))
new parser:एफ़सीआरए	(set! wordstruct '( (( "ee" "f" ) 0) (( "s" "ii" ) 0) (( "aa" "r" ) 0) (( "ee" ) 0) ))
old parser:एयरक्रॉफ़्ट	(set! wordstruct '( (( "ee" ) 0) (( "y" "a" ) 0) (( "r" "a" "k" ) 0) (( "r" "ax" "f" "tx" ) 0) ))
new parser:एयरक्रॉफ़्ट	(set! wordstruct '( (( "ee" ) 0) (( "y" "a" "r" ) 0) (( "k" "r" "ax" "f" "tx" ) 0) ))
old parser:एलपीजी	(set! wordstruct '( (( "ee" "l" ) 0) (( "p" "ii" ) 0) (( "j" "ii" ) 0) ))
new parser:एलपीजी	(set! wordstruct '( (( "ee" ) 0) (( "l" "a" ) 0) (( "p" "ii" ) 0) (( "j" "ii" ) 0) ))
old parser:एल्बम	(set! wordstruct '( (( "ee" "l" ) 0) (( "b" "a" "m" ) 0) ))
new parser:एल्बम	(set! wordstruct '( (( "ee" "l" "b" ) 0) (( "m" "a" ) 0) ))
old parser:एहतियात	(set! wordstruct '( (( "ee" "h" ) 0) (( "t" "i" ) 0) (( "y" "aa" "t" ) 0) ))
new parser:एहतियात	(set! wordstruct '( (( "ee" ) 0) (( "h" "a" ) 0) (( "t" "i" ) 0) (( "y" "aa" "t" ) 0) ))
old parser:एहसान	(set! wordstruct '( (( "ee" "h" ) 0) (( "s" "aa" "n" ) 0) ))
new parser:एहसान	(set! wordstruct '( (( "ee" ) 0) (( "h" "a" ) 0) (( "s" "aa" "n" ) 0) ))
old parser:एहसास	(set! wordstruct '( (( "ee" "h" ) 0) (( "s" "aa" "s" ) 0) ))
new parser:एहसास	(set! wordstruct '( (( "ee" ) 0) (( "h" "a" ) 0) (( "s" "aa" "s" ) 0) ))
old parser:एहसासों	(set! wordstruct '( (( "ee" "h" ) 0) (( "s" "aa" ) 0) (( "s" "o" "q" ) 0) ))
new parser:एहसासों	(set! wordstruct '( (( "ee" ) 0) (( "h" "a" ) 0) (( "s" "aa" ) 0) (( "s" "o" "q" ) 0) ))
old parser:ऑंफ़	(set! wordstruct '( (( "ax" "q" "f" ) 0) ))
new parser:ऑंफ़	(set! wordstruct '( (( "a" "q" "f" ) 0) ))
old parser:ऑक्सीडाईज्ड़	(set! wordstruct '( (( "ax" "k" ) 0) (( "s" "ii" ) 0) (( "dx" "aa" ) 0) (( "ii" "j" "dxq" ) 0) ))
new parser:ऑक्सीडाईज्ड़	(set! wordstruct '( (( "a" "k" ) 0) (( "s" "ii" ) 0) (( "dx" "aa" ) 0) (( "ii" "j" "dxq" ) 0) ))
old parser:ऑट	(set! wordstruct '( (( "ax" "tx" ) 0) ))
new parser:ऑट	(set! wordstruct '( (( "a" "tx" ) 0) ))
old parser:ऑटो	(set! wordstruct '( (( "ax" ) 0) (( "tx" "o" ) 0) ))
new parser:ऑटो	(set! wordstruct '( (( "a" ) 0) (( "tx" "o" ) 0) ))
old parser:ऑडि	(set! wordstruct '( (( "ax" ) 0) (( "dx" "i" ) 0) ))
new parser:ऑडि	(set! wordstruct '( (( "a" ) 0) (( "dx" "i" ) 0) ))
old parser:ऑडिट	(set! wordstruct '( (( "ax" ) 0) (( "dx" "i" "tx" ) 0) ))
new parser:ऑडिट	(set! wordstruct '( (( "a" ) 0) (( "dx" "i" "tx" ) 0) ))
old parser:ऑन	(set! wordstruct '( (( "ax" "n" ) 0) ))
new parser:ऑन	(set! wordstruct '( (( "a" "n" ) 0) ))
old parser:ऑनलाइन	(set! wordstruct '( (( "ax" "n" ) 0) (( "l" "aa" ) 0) (( "i" "n" ) 0) ))
new parser:ऑनलाइन	(set! wordstruct '( (( "a" "n" ) 0) (( "l" "aa" ) 0) (( "i" "n" ) 0) ))
old parser:ऑपरेट	(set! wordstruct '( (( "ax" "p" ) 0) (( "r" "ee" "tx" ) 0) ))
new parser:ऑपरेट	(set! wordstruct '( (( "a" "p" ) 0) (( "r" "ee" "tx" ) 0) ))
old parser:ऑपरेटिंग	(set! wordstruct '( (( "ax" "p" ) 0) (( "r" "ee" ) 0) (( "tx" "i" "q" "g" ) 0) ))
new parser:ऑपरेटिंग	(set! wordstruct '( (( "a" "p" ) 0) (( "r" "ee" ) 0) (( "tx" "i" "q" "g" ) 0) ))
old parser:ऑपरेटेड	(set! wordstruct '( (( "ax" "p" ) 0) (( "r" "ee" ) 0) (( "tx" "ee" "dx" ) 0) ))
new parser:ऑपरेटेड	(set! wordstruct '( (( "a" "p" ) 0) (( "r" "ee" ) 0) (( "tx" "ee" "dx" ) 0) ))
old parser:ऑपरेशन	(set! wordstruct '( (( "ax" "p" ) 0) (( "r" "ee" ) 0) (( "sh" "a" "n" ) 0) ))
new parser:ऑपरेशन	(set! wordstruct '( (( "a" "p" ) 0) (( "r" "ee" ) 0) (( "sh" "a" "n" ) 0) ))
old parser:ऑफ़	(set! wordstruct '( (( "ax" "f" ) 0) ))
new parser:ऑफ़	(set! wordstruct '( (( "a" "f" ) 0) ))
old parser:ऑफ़िस	(set! wordstruct '( (( "ax" ) 0) (( "f" "i" "s" ) 0) ))
new parser:ऑफ़िस	(set! wordstruct '( (( "a" ) 0) (( "f" "i" "s" ) 0) ))
old parser:ऑफिस	(set! wordstruct '( (( "ax" ) 0) (( "ph" "i" "s" ) 0) ))
new parser:ऑफिस	(set! wordstruct '( (( "a" ) 0) (( "ph" "i" "s" ) 0) ))
old parser:ऑबरोय	(set! wordstruct '( (( "ax" "b" ) 0) (( "r" "o" "y" ) 0) ))
new parser:ऑबरोय	(set! wordstruct '( (( "a" "b" ) 0) (( "r" "o" "y" ) 0) ))
old parser:ऑब्जरवेट्री	(set! wordstruct '( (( "ax" "b" ) 0) (( "j" "a" ) 0) (( "r" "a" ) 0) (( "w" "ee" "tx" ) 0) (( "r" "ii" ) 0) ))
new parser:ऑब्जरवेट्री	(set! wordstruct '( (( "a" "b" ) 0) (( "j" "a" ) 0) (( "r" "a" ) 0) (( "w" "ee" "tx" ) 0) (( "r" "ii" ) 0) ))
old parser:ऑब्ज़रवेट्री	(set! wordstruct '( (( "ax" "b" "z" ) 0) (( "r" "a" ) 0) (( "w" "ee" "tx" ) 0) (( "r" "ii" ) 0) ))
new parser:ऑब्ज़रवेट्री	(set! wordstruct '( (( "a" "b" "z" ) 0) (( "r" "a" ) 0) (( "w" "ee" "tx" ) 0) (( "r" "ii" ) 0) ))
old parser:ऑस्ट्रेलिया	(set! wordstruct '( (( "ax" "s" "tx" ) 0) (( "r" "ee" ) 0) (( "l" "i" ) 0) (( "y" "aa" ) 0) ))
new parser:ऑस्ट्रेलिया	(set! wordstruct '( (( "a" "s" "tx" ) 0) (( "r" "ee" ) 0) (( "l" "i" ) 0) (( "y" "aa" ) 0) ))
old parser:ऑस्मंड	(set! wordstruct '( (( "ax" "s" ) 0) (( "m" "a" "q" "dx" ) 0) ))
new parser:ऑस्मंड	(set! wordstruct '( (( "a" "s" ) 0) (( "m" "a" "q" "dx" ) 0) ))
old parser:ऑफ़	(set! wordstruct '( (( "ax" "f" ) 0) ))
new parser:ऑफ़	(set! wordstruct '( (( "a" "f" ) 0) ))
old parser:ऑफ़िस	(set! wordstruct '( (( "ax" ) 0) (( "f" "i" "s" ) 0) ))
new parser:ऑफ़िस	(set! wordstruct '( (( "a" ) 0) (( "f" "i" "s" ) 0) ))
old parser:ऑफ़िसर्स	(set! wordstruct '( (( "ax" ) 0) (( "f" "i" ) 0) (( "s" "a" "r" "s" ) 0) ))
new parser:ऑफ़िसर्स	(set! wordstruct '( (( "a" ) 0) (( "f" "i" "s" ) 0) (( "r" "s" "a" ) 0) ))
old parser:औरतें	(set! wordstruct '( (( "ou" "r" ) 0) (( "t" "ee" "q" ) 0) ))
new parser:औरतें	(set! wordstruct '( (( "ou" ) 0) (( "r" "a" ) 0) (( "t" "ee" "q" ) 0) ))
old parser:औरतों	(set! wordstruct '( (( "ou" "r" ) 0) (( "t" "o" "q" ) 0) ))
new parser:औरतों	(set! wordstruct '( (( "ou" ) 0) (( "r" "a" ) 0) (( "t" "o" "q" ) 0) ))
old parser:औषधि	(set! wordstruct '( (( "ou" "sx" ) 0) (( "dh" "i" ) 0) ))
new parser:औषधि	(set! wordstruct '( (( "ou" ) 0) (( "sx" "a" ) 0) (( "dh" "i" ) 0) ))
old parser:कतरनें	(set! wordstruct '( (( "k" "a" "t" ) 0) (( "r" "a" ) 0) (( "n" "ee" "q" ) 0) ))
new parser:कतरनें	(set! wordstruct '( (( "k" "a" ) 0) (( "t" "a" "r" ) 0) (( "n" "ee" "q" ) 0) ))
old parser:कद्रदानों	(set! wordstruct '( (( "k" "a" "d" ) 0) (( "r" "a" ) 0) (( "d" "aa" ) 0) (( "n" "o" "q" ) 0) ))
new parser:कद्रदानों	(set! wordstruct '( (( "k" "a" "d" "r" ) 0) (( "d" "aa" ) 0) (( "n" "o" "q" ) 0) ))
old parser:कमलनाथ	(set! wordstruct '( (( "k" "a" "m" ) 0) (( "l" "a" ) 0) (( "n" "aa" "th" ) 0) ))
new parser:कमलनाथ	(set! wordstruct '( (( "k" "a" ) 0) (( "m" "a" "l" ) 0) (( "n" "aa" "th" ) 0) ))
old parser:कॅनाडा	(set! wordstruct '( (( "k" "ae" ) 0) (( "n" "aa" ) 0) (( "dx" "aa" ) 0) ))
new parser:कॅनाडा	(set! wordstruct '( (( "k" "a" ) 0) (( "e" ) 0) (( "n" "aa" ) 0) (( "dx" "aa" ) 0) ))
old parser:कॅरियर	(set! wordstruct '( (( "k" "ae" ) 0) (( "r" "i" ) 0) (( "y" "a" "r" ) 0) ))
new parser:कॅरियर	(set! wordstruct '( (( "k" "a" ) 0) (( "e" ) 0) (( "r" "i" ) 0) (( "y" "a" "r" ) 0) ))
old parser:कैरवान	(set! wordstruct '( (( "k" "ei" "r" ) 0) (( "w" "aa" "n" ) 0) ))
new parser:कैरवान	(set! wordstruct '( (( "k" "ei" ) 0) (( "r" "a" ) 0) (( "w" "aa" "n" ) 0) ))
old parser:कोलॅ	(set! wordstruct '( (( "k" "o" ) 0) (( "l" "ae" ) 0) ))
new parser:कोलॅ	(set! wordstruct '( (( "k" "o" ) 0) (( "l" "a" ) 0) (( "e" ) 0) ))
old parser:क्वाटर	(set! wordstruct '( (( "k" "w" "aa" ) 0) (( "tx" "a" "r" ) 0) ))
new parser:क्वाटर	(set! wordstruct '( (( "k" "a" ) 0) (( "w" "aa" ) 0) (( "tx" "a" "r" ) 0) ))
old parser:खासकर	(set! wordstruct '( (( "kh" "aa" "s" ) 0) (( "k" "a" "r" ) 0) ))
new parser:खासकर	(set! wordstruct '( (( "kh" "aa" ) 0) (( "s" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:खुलकर	(set! wordstruct '( (( "kh" "u" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:खुलकर	(set! wordstruct '( (( "kh" "u" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:खेलकर	(set! wordstruct '( (( "kh" "ee" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:खेलकर	(set! wordstruct '( (( "kh" "ee" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:खोलकर	(set! wordstruct '( (( "kh" "o" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:खोलकर	(set! wordstruct '( (( "kh" "o" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:ग़लतफ़हमी	(set! wordstruct '( (( "gq" "a" "l" ) 0) (( "t" "a" ) 0) (( "f" "a" "h" ) 0) (( "m" "ii" ) 0) ))
new parser:ग़लतफ़हमी	(set! wordstruct '( (( "gq" "a" ) 0) (( "l" "a" "t" ) 0) (( "f" "a" "h" ) 0) (( "m" "ii" ) 0) ))
old parser:गांधीनगर	(set! wordstruct '( (( "g" "aa" "q" ) 0) (( "dh" "ii" "n" ) 0) (( "g" "a" "r" ) 0) ))
new parser:गांधीनगर	(set! wordstruct '( (( "g" "aa" "q" ) 0) (( "dh" "ii" ) 0) (( "n" "a" ) 0) (( "g" "a" "r" ) 0) ))
old parser:गीतेश्वर	(set! wordstruct '( (( "g" "ii" ) 0) (( "t" "ee" "sh" ) 0) (( "w" "a" "r" ) 0) ))
new parser:गीतेश्वर	(set! wordstruct '( (( "g" "ii" ) 0) (( "t" "ee" ) 0) (( "sh" "w" "a" "r" ) 0) ))
old parser:गॅरंटी	(set! wordstruct '( (( "g" "ae" ) 0) (( "r" "a" "q" ) 0) (( "tx" "ii" ) 0) ))
new parser:गॅरंटी	(set! wordstruct '( (( "g" "a" ) 0) (( "e" ) 0) (( "r" "a" "q" ) 0) (( "tx" "ii" ) 0) ))
old parser:ग्रस्त	(set! wordstruct '( (( "g" "r" "a" "s" "t" ) 0) ))
new parser:ग्रस्त	(set! wordstruct '( (( "g" "a" ) 0) (( "r" "a" "s" "t" ) 0) ))
old parser:ग्रहकों	(set! wordstruct '( (( "g" "r" "a" ) 0) (( "h" "a" ) 0) (( "k" "o" "q" ) 0) ))
new parser:ग्रहकों	(set! wordstruct '( (( "g" "r" "a" "h" ) 0) (( "k" "o" "q" ) 0) ))
old parser:घटनास्थल	(set! wordstruct '( (( "gh" "a" "tx" ) 0) (( "n" "aa" "s" ) 0) (( "th" "a" "l" ) 0) ))
new parser:घटनास्थल	(set! wordstruct '( (( "gh" "a" "tx" ) 0) (( "n" "aa" ) 0) (( "s" "th" "a" "l" ) 0) ))
old parser:घबराहट	(set! wordstruct '( (( "gh" "a" "b" ) 0) (( "r" "aa" ) 0) (( "h" "a" "tx" ) 0) ))
new parser:घबराहट	(set! wordstruct '( (( "gh" "a" ) 0) (( "b" "a" ) 0) (( "r" "aa" "h" ) 0) (( "tx" "a" ) 0) ))
old parser:घुसकर	(set! wordstruct '( (( "gh" "u" "s" ) 0) (( "k" "a" "r" ) 0) ))
new parser:घुसकर	(set! wordstruct '( (( "gh" "u" ) 0) (( "s" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:घूमकर	(set! wordstruct '( (( "gh" "uu" "m" ) 0) (( "k" "a" "r" ) 0) ))
new parser:घूमकर	(set! wordstruct '( (( "gh" "uu" ) 0) (( "m" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:चंडीश्वर	(set! wordstruct '( (( "c" "a" "q" ) 0) (( "dx" "ii" "sh" ) 0) (( "w" "a" "r" ) 0) ))
new parser:चंडीश्वर	(set! wordstruct '( (( "c" "a" "q" ) 0) (( "dx" "ii" ) 0) (( "sh" "w" "a" "r" ) 0) ))
old parser:चलकर	(set! wordstruct '( (( "c" "a" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:चलकर	(set! wordstruct '( (( "c" "a" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:चित्तलवाडी	(set! wordstruct '( (( "c" "i" "t" "t" ) 0) (( "l" "a" ) 0) (( "w" "aa" ) 0) (( "dx" "ii" ) 0) ))
new parser:चित्तलवाडी	(set! wordstruct '( (( "c" "i" "t" ) 0) (( "t" "a" "l" ) 0) (( "w" "aa" ) 0) (( "dx" "ii" ) 0) ))
old parser:चित्तलवाड़ी	(set! wordstruct '( (( "c" "i" "t" "t" ) 0) (( "l" "a" ) 0) (( "w" "aa" ) 0) (( "dxq" "ii" ) 0) ))
new parser:चित्तलवाड़ी	(set! wordstruct '( (( "c" "i" "t" ) 0) (( "t" "a" "l" ) 0) (( "w" "aa" ) 0) (( "dxq" "ii" ) 0) ))
old parser:छीलकर	(set! wordstruct '( (( "ch" "ii" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:छीलकर	(set! wordstruct '( (( "ch" "ii" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:जबरन	(set! wordstruct '( (( "j" "a" "b" ) 0) (( "r" "a" "n" ) 0) ))
new parser:जबरन	(set! wordstruct '( (( "j" "a" ) 0) (( "b" "a" "r" ) 0) (( "n" "a" ) 0) ))
old parser:जमकर	(set! wordstruct '( (( "j" "a" "m" ) 0) (( "k" "a" "r" ) 0) ))
new parser:जमकर	(set! wordstruct '( (( "j" "a" ) 0) (( "m" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:जरूरत	(set! wordstruct '( (( "j" "a" ) 0) (( "r" "uu" ) 0) (( "r" "a" "t" ) 0) ))
new parser:जरूरत	(set! wordstruct '( (( "j" "a" ) 0) (( "r" "uu" "r" ) 0) (( "t" "a" ) 0) ))
old parser:जवाहरलाल	(set! wordstruct '( (( "j" "a" ) 0) (( "w" "aa" "h" ) 0) (( "r" "a" ) 0) (( "l" "aa" "l" ) 0) ))
new parser:जवाहरलाल	(set! wordstruct '( (( "j" "a" ) 0) (( "w" "aa" ) 0) (( "h" "a" "r" ) 0) (( "l" "aa" "l" ) 0) ))
old parser:जसवाल	(set! wordstruct '( (( "j" "a" "s" ) 0) (( "w" "aa" "l" ) 0) ))
new parser:जसवाल	(set! wordstruct '( (( "j" "a" ) 0) (( "s" "a" ) 0) (( "w" "aa" "l" ) 0) ))
old parser:ज़रुरत	(set! wordstruct '( (( "z" "a" ) 0) (( "r" "u" ) 0) (( "r" "a" "t" ) 0) ))
new parser:ज़रुरत	(set! wordstruct '( (( "z" "a" ) 0) (( "r" "u" "r" ) 0) (( "t" "a" ) 0) ))
old parser:ज़रूरत	(set! wordstruct '( (( "z" "a" ) 0) (( "r" "uu" ) 0) (( "r" "a" "t" ) 0) ))
new parser:ज़रूरत	(set! wordstruct '( (( "z" "a" ) 0) (( "r" "uu" "r" ) 0) (( "t" "a" ) 0) ))
old parser:जानकार	(set! wordstruct '( (( "j" "aa" "n" ) 0) (( "k" "aa" "r" ) 0) ))
new parser:जानकार	(set! wordstruct '( (( "j" "aa" ) 0) (( "n" "a" ) 0) (( "k" "aa" "r" ) 0) ))
old parser:जीवनकाल	(set! wordstruct '( (( "j" "ii" "w" ) 0) (( "n" "a" ) 0) (( "k" "aa" "l" ) 0) ))
new parser:जीवनकाल	(set! wordstruct '( (( "j" "ii" ) 0) (( "w" "a" "n" ) 0) (( "k" "aa" ) 0) (( "l" "a" ) 0) ))
old parser:झेलकर	(set! wordstruct '( (( "jh" "ee" "l" ) 0) (( "k" "a" "r" ) 0) ))
new parser:झेलकर	(set! wordstruct '( (( "jh" "ee" ) 0) (( "l" "a" ) 0) (( "k" "a" "r" ) 0) ))
old parser:टकराव	(set! wordstruct '( (( "tx" "a" "k" ) 0) (( "r" "aa" "w" ) 0) ))
new parser:टकराव	(set! wordstruct '( (( "tx" "a" "k" ) 0) (( "r" "aa" ) 0) (( "w" "a" ) 0) ))
old parser:ट्रायल	(set! wordstruct '( (( "tx" "r" "aa" ) 0) (( "y" "a" "l" ) 0) ))
new parser:ट्रायल	(set! wordstruct '( (( "tx" "a" ) 0) (( "r" "aa" ) 0) (( "y" "a" "l" ) 0) ))
old parser:डरहम	(set! wordstruct '( (( "dx" "a" "r" ) 0) (( "h" "a" "m" ) 0) ))
